20231024 16:42:12 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java515 - updateUserNameAPITC18 Execution started
20231024 16:42:13 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java535 - updateUserNameAPITC18 Execution ended
20231024 16:42:13 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'updateUserNameAPITC18' PASSED
20231024 16:42:14 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:14 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java601 - updateUserNameAndLocationAPITC21 Execution started
20231024 16:42:15 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java621 - updateUserNameAndLocationAPITC21 Execution ended
20231024 16:42:15 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'updateUserNameAndLocationAPITC21' PASSED
20231024 16:42:15 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:15 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java657 - updateUserNameAndLocationAPITC23 Execution started
20231024 16:42:16 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java677 - updateUserNameAndLocationAPITC23 Execution ended
20231024 16:42:16 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'updateUserNameAndLocationAPITC23' PASSED
20231024 16:42:16 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:16 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java31 - Test 'createUserDuplicateUserCreationTC8' SKIPPED
